id,product_id,product_code,product_name,nav_date,initial_nav,accumulated_nav,current_nav,is_updated,last_update_date,crawl_time,created_at,updated_at
41,1000039788,Z7001625000227,招银理财招睿美元天添金30天持有期1号固定收益类理财计划,2025-05-16,1.0,1.0014,1.0014,0,,2025-05-16 18:09:58,2025-05-16 18:10:05.660161,2025-05-16 18:10:05.660164
92,1000041730,Z7001625000281,招银理财招赢日日金81号现金管理类理财计划,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.699509,2025-05-16 18:10:05.699512
96,1000041732,Z7001625000283,招银理财招赢日日金80号现金管理类理财计划,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.702594,2025-05-16 18:10:05.702597
91,1000042951,Z7001625000320,招银理财招赢日日金85号现金管理类理财计划,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.698737,2025-05-16 18:10:05.698740
90,1000042961,Z7001625000330,招银理财招赢日日金84号现金管理类理财计划,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.697911,2025-05-16 18:10:05.697915
95,1000042964,Z7001625000333,招银理财招赢日日金82号现金管理类理财计划,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.701795,2025-05-16 18:10:05.701798
35,2319994,Z7001924000429,邮银财富·邮鸿宝32号,2025-05-16,1.0,1.0014,1.0,0,,2025-05-16 18:09:58,2025-05-16 18:10:05.655199,2025-05-16 18:10:05.655202
34,2320000,Z7001924000434,邮银财富·邮鸿宝30号,2025-05-16,1.0,1.0018,1.0,0,,2025-05-16 18:09:58,2025-05-16 18:10:05.654333,2025-05-16 18:10:05.654335
56,2320004,Z7001924000437,邮银财富·零钱宝32号,2025-05-16,1.0,1.0025,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.671488,2025-05-16 18:10:05.671491
55,2320005,Z7001924000438,邮银财富·零钱宝33号,2025-05-16,1.0,1.0025,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.670781,2025-05-16 18:10:05.670784
54,2320006,Z7001924000439,邮银财富·零钱宝34号,2025-05-16,1.0,1.0025,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.670082,2025-05-16 18:10:05.670085
125,2320007,Z7001924000440,邮银财富·邮鸿宝29号,2025-05-16,1.0,1.0039,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.724880,2025-05-16 18:10:05.724882
53,2320009,Z7001924000442,邮银财富·零钱宝30号,2025-05-16,1.0,1.0025,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.669382,2025-05-16 18:10:05.669384
52,2320018,Z7001924000448,邮银财富·零钱宝27号,2025-05-16,1.0,1.0025,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.668681,2025-05-16 18:10:05.668683
51,2320019,Z7001924000449,邮银财富·零钱宝31号,2025-05-16,1.0,1.0025,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.667981,2025-05-16 18:10:05.667983
139,1000030829,Z7002024003341,兴银理财稳添利日盈增利85号日开固收类理财产品,2025-05-16,1.0,1.00522,1.00522,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.735594,2025-05-16 18:10:05.735621
147,1000031918,Z7002025000018,兴银理财稳添利ESG日盈增利83号日开固收类理财产品,2025-05-16,1.0,1.01349,1.01349,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.741262,2025-05-16 18:10:05.741264
116,1000034623,Z7002025000120,兴银理财添利天天利48号现金管理型理财产品,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.718345,2025-05-16 18:10:05.718348
131,1000034624,Z7002025000121,兴银理财添利天天利51号现金管理型理财产品,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.729053,2025-05-16 18:10:05.729055
107,1000034626,Z7002025000123,兴银理财添利天天利44号现金管理型理财产品,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.711571,2025-05-16 18:10:05.711574
88,1000034630,Z7002025000127,兴银理财添利天天利53号现金管理型理财产品,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.695919,2025-05-16 18:10:05.695921
145,1000034632,Z7002025000129,兴银理财添利天天利38号现金管理型理财产品,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.739992,2025-05-16 18:10:05.739994
106,1000034633,Z7002025000130,兴银理财添利天天利45号现金管理型理财产品,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.710813,2025-05-16 18:10:05.710815
105,1000034635,Z7002025000132,兴银理财添利天天利46号现金管理型理财产品,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.710049,2025-05-16 18:10:05.710051
87,1000034636,Z7002025000133,兴银理财添利天天利55号现金管理型理财产品,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.695188,2025-05-16 18:10:05.695190
104,1000034638,Z7002025000135,兴银理财添利天天利47号现金管理型理财产品,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.709245,2025-05-16 18:10:05.709248
103,1000034640,Z7002025000137,兴银理财添利天天利43号现金管理型理财产品,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.708434,2025-05-16 18:10:05.708437
123,1000035876,Z7002025000173,兴银理财稳添利日盈36号日开固收类理财产品,2025-05-16,1.0,1.0053,1.0053,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.723489,2025-05-16 18:10:05.723491
144,1000035878,Z7002025000175,兴银理财稳添利日盈35号日开固收类理财产品,2025-05-16,1.0,1.00913,1.00913,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.739293,2025-05-16 18:10:05.739296
97,1000039508,Z7002025000284,兴银理财稳添利日盈增利94号日开固收类理财产品,2025-05-16,1.0,1.00948,1.00948,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.703418,2025-05-16 18:10:05.703421
86,1000041858,Z7002025000414,兴银理财汇利现金宝1号美元现金管理类理财产品,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.694445,2025-05-16 18:10:05.694447
49,1000046020,Z7002025000592,兴银理财日盈45号日开固收类理财产品,2025-05-16,1.0,1.00211,1.00211,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.666573,2025-05-16 18:10:05.666576
38,1000046023,Z7002025000595,兴银理财稳添利日盈51号日开固收类理财产品,2025-05-16,1.0,1.00122,1.00122,0,,2025-05-16 18:09:58,2025-05-16 18:10:05.657822,2025-05-16 18:10:05.657825
44,1000046553,Z7002025000601,兴银理财稳添利日盈47号日开固收类理财产品,2025-05-16,1.0,1.0021,1.0021,0,,2025-05-16 18:09:58,2025-05-16 18:10:05.662360,2025-05-16 18:10:05.662363
102,1000037800,Z7002225000065,幸福99金钱包42号理财,2025-05-16,1.0,1.0,1.0,0,,2025-05-16 18:10:05,2025-05-16 18:10:05.707607,2025-05-16 18:10:05.707610
